aogcm,sector,pr_clim,evspsbl_clim,smb_clim,ts_clim,mrro_clim
cnrm-cm6_ssp585,16,1.3929254237154964e-05,1.3041916417932953e-06,1.2615559171536006e-05,256.129638671875,9.503589026849113e-09
cnrm-cm6_ssp585,17,2.3014463295112364e-05,8.081887244770769e-06,1.3594328265753575e-05,269.7849426269531,1.3382468750933185e-06
cnrm-cm6_ssp585,18,2.0239658624632284e-05,4.783740223501809e-06,1.3906901585869491e-05,261.8663635253906,1.5490165878873086e-06
cnrm-cm6_ssp126,1,2.3021922970656306e-05,9.994524589274079e-06,1.3027399290876929e-05,271.07421875,-1.0878389931478355e-14
cnrm-cm6_ssp126,2,9.65567505772924e-06,2.281067054354935e-06,7.374607321253279e-06,251.85365295410156,0.0
cnrm-cm6_ssp126,3,2.6055668058688752e-05,1.0905670933425426e-05,1.5149996215768624e-05,271.47979736328125,0.0
cnrm-cm6_ssp126,4,1.7485133867012337e-05,1.7409448673788575e-06,1.5744188203825615e-05,249.5447998046875,0.0
cnrm-cm6_ssp126,5,7.502769221900962e-06,2.5807419206103077e-06,4.921571417071391e-06,247.80685424804688,4.5555309524658583e-10
cnrm-cm6_ssp126,6,3.512347120704362e-06,1.0641360859153792e-06,2.448211489536334e-06,230.0728302001953,0.0
cnrm-cm6_ssp126,7,2.303820838278625e-05,8.168296517396811e-06,1.4869910955894738e-05,259.0301818847656,0.0
