aogcm,sector,pr_clim,evspsbl_clim,smb_clim,ts_clim,mrro_clim
csiro-mk3.6_rcp85,16,1.3470779776980635e-05,1.8353622408540105e-06,1.163541674031876e-05,255.87197875976562,
csiro-mk3.6_rcp85,17,2.209815829701256e-05,7.37668551664683e-06,1.4721472325618379e-05,269.13848876953125,
csiro-mk3.6_rcp85,18,1.6190306268981658e-05,2.5592664769646944e-06,1.3631040019390639e-05,256.2691650390625,
ipsl-cm5-mr_rcp85,1,2.3619197236257605e-05,1.4182354789227247e-05,9.43684335652506e-06,272.082763671875,
ipsl-cm5-mr_rcp85,2,1.2302371033001691e-05,3.4774122923408868e-06,8.82495896803448e-06,254.2740020751953,
ipsl-cm5-mr_rcp85,3,2.776632936729584e-05,1.3219761967775412e-05,1.454656921850983e-05,272.465087890625,
ipsl-cm5-mr_rcp85,4,1.3271938769321423e-05,1.870825030891865e-06,1.140111362474272e-05,250.68275451660156,
ipsl-cm5-mr_rcp85,5,7.471857315977104e-06,2.161123347832472e-06,5.310734195518307e-06,249.19876098632812,
ipsl-cm5-mr_rcp85,6,3.4224210594402393e-06,1.3425883480522316e-06,2.0798324840143323e-06,234.6302947998047,
ipsl-cm5-mr_rcp85,7,2.337121986784041e-05,1.0874864528886974e-05,1.2496355338953435e-05,262.1276550292969,
ipsl-cm5-mr_rcp85,8,2.044380562438164e-05,9.064584446605295e-06,1.137921935878694e-05,257.5172424316406,
ipsl-cm5-mr_rcp85,9,7.882106729084626e-06,3.8490366023324896e-06,4.033069672004785e-06,242.50015258789062,
ipsl-cm5-mr_rcp85,10,1.4991132047725841e-05,8.68259394337656e-06,6.308537649601931e-06,258.7000732421875,
ipsl-cm5-mr_rcp85,11,4.673493549489649e-06,1.921785269587417e-06,2.7517085072759073e-06,239.61434936523438,
ipsl-cm5-mr_rcp85,12,2.313130971742794e-05,1.0455367373651825e-05,1.2675942343776114e-05,265.2653503417969,
ipsl-cm5-mr_rcp85,13,2.3716813302598894e-05,1.2127254194638226e-05,1.158956001745537e-05,266.7486572265625,
ipsl-cm5-mr_rcp85,14,1.5676889233873226e-05,7.340234333241824e-06,8.336655810126103e-06,254.94357299804688,
