sectors,year,temperature,regions,aogcm
3.0,2028,1.1004997,1.0,miroc-esm-chem_rcp8.5
3.0,2029,1.089408,1.0,miroc-esm-chem_rcp8.5
3.0,2030,1.107154,1.0,miroc-esm-chem_rcp8.5
3.0,2031,1.0813293,1.0,miroc-esm-chem_rcp8.5
3.0,2032,1.0791584,1.0,miroc-esm-chem_rcp8.5
3.0,2033,1.0746565,1.0,miroc-esm-chem_rcp8.5
3.0,2034,1.0525194,1.0,miroc-esm-chem_rcp8.5
3.0,2035,1.0747603,1.0,miroc-esm-chem_rcp8.5
3.0,2036,1.0662825,1.0,miroc-esm-chem_rcp8.5
3.0,2037,1.028599,1.0,miroc-esm-chem_rcp8.5
3.0,2038,1.0401249,1.0,miroc-esm-chem_rcp8.5
3.0,2039,1.0630602,1.0,miroc-esm-chem_rcp8.5
3.0,2040,1.0451769,1.0,miroc-esm-chem_rcp8.5
3.0,2041,1.0536426,1.0,miroc-esm-chem_rcp8.5
3.0,2042,1.0953487,1.0,miroc-esm-chem_rcp8.5
3.0,2043,1.1057192,1.0,miroc-esm-chem_rcp8.5
3.0,2044,1.093398,1.0,miroc-esm-chem_rcp8.5
3.0,2045,1.0810279,1.0,miroc-esm-chem_rcp8.5
3.0,2046,1.1007046,1.0,miroc-esm-chem_rcp8.5
3.0,2047,1.1187,1.0,miroc-esm-chem_rcp8.5
3.0,2048,1.1181053,1.0,miroc-esm-chem_rcp8.5
3.0,2049,1.1433222,1.0,miroc-esm-chem_rcp8.5
3.0,2050,1.1567131,1.0,miroc-esm-chem_rcp8.5
3.0,2051,1.1362002,1.0,miroc-esm-chem_rcp8.5
3.0,2052,1.1337337,1.0,miroc-esm-chem_rcp8.5
3.0,2053,1.1512564,1.0,miroc-esm-chem_rcp8.5
3.0,2054,1.1733106,1.0,miroc-esm-chem_rcp8.5
3.0,2055,1.19633,1.0,miroc-esm-chem_rcp8.5
3.0,2056,1.1690379,1.0,miroc-esm-chem_rcp8.5
3.0,2057,1.194929,1.0,miroc-esm-chem_rcp8.5
3.0,2058,1.1989886,1.0,miroc-esm-chem_rcp8.5
3.0,2059,1.1847966,1.0,miroc-esm-chem_rcp8.5
3.0,2060,1.1853245,1.0,miroc-esm-chem_rcp8.5
