sectors,year,pr_anomaly,evspsbl_anomaly,mrro_anomaly,smb_anomaly,ts_anomaly,regions,aogcm
2.0,2029.0,-2.0561477e-06,1.5144325e-07,-1.07947834e-07,-2.099643e-06,-0.9447457,1.0,noresm1-m_rcp8.5
2.0,2030.0,1.1530323e-06,-1.15384694e-07,7.01793e-08,1.1982377e-06,1.4887279,1.0,noresm1-m_rcp8.5
2.0,2031.0,-1.1407268e-06,1.1837945e-07,-6.7364454e-08,-1.1917418e-06,0.07620718,1.0,noresm1-m_rcp8.5
2.0,2032.0,-1.7867485e-06,1.03617054e-07,-1.2308948e-07,-1.7672761e-06,-0.49231938,1.0,noresm1-m_rcp8.5
2.0,2033.0,-8.025781e-09,3.005091e-07,-5.9307766e-08,-2.492271e-07,0.4399166,1.0,noresm1-m_rcp8.5
2.0,2034.0,2.4198848e-06,1.08785985e-08,6.3932546e-08,2.3450737e-06,1.6514549,1.0,noresm1-m_rcp8.5
2.0,2035.0,-5.970398e-07,-4.959109e-08,6.1174e-08,-6.086227e-07,1.0895091,1.0,noresm1-m_rcp8.5
2.0,2036.0,2.1503338e-06,-1.9532278e-07,2.0462036e-07,2.141036e-06,1.3676504,1.0,noresm1-m_rcp8.5
2.0,2037.0,-1.2568983e-06,3.15072e-07,-1.9257726e-08,-1.5527124e-06,0.49901873,1.0,noresm1-m_rcp8.5
2.0,2038.0,-2.1652777e-06,2.172328e-07,-9.873341e-08,-2.2837771e-06,-0.89693415,1.0,noresm1-m_rcp8.5
2.0,2039.0,-8.318924e-07,-1.511655e-07,-5.8072898e-09,-6.749196e-07,0.23514849,1.0,noresm1-m_rcp8.5
2.0,2040.0,1.16876855e-07,-5.754841e-08,3.4419834e-08,1.4000543e-07,1.1249399,1.0,noresm1-m_rcp8.5
2.0,2041.0,1.3068999e-06,-9.9411345e-08,-2.6823434e-08,1.4331346e-06,0.8365435,1.0,noresm1-m_rcp8.5
2.0,2042.0,-5.316536e-07,5.935269e-08,-4.4544297e-08,-5.46462e-07,-0.19407032,1.0,noresm1-m_rcp8.5
2.0,2043.0,-9.069727e-07,1.16534355e-08,-4.3808043e-08,-8.7481806e-07,-0.28002644,1.0,noresm1-m_rcp8.5
2.0,2044.0,5.5282527e-07,-2.450121e-08,2.0803492e-08,5.56523e-07,0.94323355,1.0,noresm1-m_rcp8.5
2.0,2045.0,-2.7003148e-07,4.097801e-08,-4.91957e-08,-2.618138e-07,0.8874953,1.0,noresm1-m_rcp8.5
2.0,2046.0,2.2152635e-06,-2.0327379e-08,7.682931e-08,2.1587616e-06,1.8951145,1.0,noresm1-m_rcp8.5
2.0,2047.0,-1.9798802e-06,9.757794e-08,-1.219292e-07,-1.955529e-06,-0.24016823,1.0,noresm1-m_rcp8.5
2.0,2048.0,3.1653335e-07,7.358e-08,-4.3142208e-08,2.8609554e-07,0.80709606,1.0,noresm1-m_rcp8.5
2.0,2049.0,-2.3283816e-07,-8.9029015e-08,-3.4735e-08,-1.0907416e-07,0.047588043,1.0,noresm1-m_rcp8.5
2.0,2050.0,1.7340658e-06,-2.8929549e-07,1.7361204e-07,1.8497492e-06,1.4213686,1.0,noresm1-m_rcp8.5
2.0,2051.0,6.310475e-07,2.2510268e-07,3.3029362e-08,3.7291542e-07,1.9150904,1.0,noresm1-m_rcp8.5
2.0,2052.0,-2.3413372e-06,1.0416102e-07,-7.526541e-08,-2.370233e-06,-0.19995467,1.0,noresm1-m_rcp8.5
2.0,2053.0,1.2619837e-07,-5.185488e-08,2.2893146e-07,-5.08782e-08,1.4735016,1.0,noresm1-m_rcp8.5
2.0,2054.0,-1.2793718e-06,3.1411503e-08,-9.274531e-08,-1.2180379e-06,-0.92306614,1.0,noresm1-m_rcp8.5
2.0,2055.0,-2.4127494e-06,1.7080573e-07,-1.270352e-07,-2.45652e-06,0.004184055,1.0,noresm1-m_rcp8.5
2.0,2056.0,-5.9695324e-08,1.972035e-07,-2.807732e-08,-2.288215e-07,1.0818434,1.0,noresm1-m_rcp8.5
2.0,2057.0,-7.0531553e-07,-8.249713e-08,-2.6614762e-09,-6.201569e-07,0.6690487,1.0,noresm1-m_rcp8.5
